arquivo_zip,nome_arquivo,regiao,ip_sensor,tamanho_compactado,tamanho_original
e3/af-south-1a-13.244.104.42-20231219-2011.pcap.gz,af-south-1a-13.244.104.42-20231219-2011.pcap.gz,af-south-1,13.244.104.42,591203,591175
e3/af-south-1a-13.244.104.42-20231220-2011.pcap.gz,af-south-1a-13.244.104.42-20231220-2011.pcap.gz,af-south-1,13.244.104.42,673834,673806
e3/af-south-1a-13.244.104.42-20231221-2011.pcap.gz,af-south-1a-13.244.104.42-20231221-2011.pcap.gz,af-south-1,13.244.104.42,642488,642460
e3/af-south-1a-13.244.104.42-20231222-2011.pcap.gz,af-south-1a-13.244.104.42-20231222-2011.pcap.gz,af-south-1,13.244.104.42,680477,680449
e3/af-south-1a-13.244.104.42-20231223-2011.pcap.gz,af-south-1a-13.244.104.42-20231223-2011.pcap.gz,af-south-1,13.244.104.42,619222,619194
e3/af-south-1a-13.244.104.42-20231224-2011.pcap.gz,af-south-1a-13.244.104.42-20231224-2011.pcap.gz,af-south-1,13.244.104.42,640049,640021
e3/af-south-1a-13.244.104.42-20231225-2011.pcap.gz,af-south-1a-13.244.104.42-20231225-2011.pcap.gz,af-south-1,13.244.104.42,705240,705212
e3/af-south-1a-13.244.104.42-20231226-2011.pcap.gz,af-south-1a-13.244.104.42-20231226-2011.pcap.gz,af-south-1,13.244.104.42,618698,618670
e3/af-south-1a-13.244.104.42-20231227-2011.pcap.gz,af-south-1a-13.244.104.42-20231227-2011.pcap.gz,af-south-1,13.244.104.42,664736,664708
e3/af-south-1a-13.244.104.42-20231228-2011.pcap.gz,af-south-1a-13.244.104.42-20231228-2011.pcap.gz,af-south-1,13.244.104.42,638896,638868
e3/af-south-1a-13.244.104.42-20231229-2011.pcap.gz,af-south-1a-13.244.104.42-20231229-2011.pcap.gz,af-south-1,13.244.104.42,608258,608230
e3/af-south-1a-13.244.104.42-20231230-2012.pcap.gz,af-south-1a-13.244.104.42-20231230-2012.pcap.gz,af-south-1,13.244.104.42,677981,677953
e3/af-south-1a-13.244.104.42-20231231-2012.pcap.gz,af-south-1a-13.244.104.42-20231231-2012.pcap.gz,af-south-1,13.244.104.42,639952,639924
e3/af-south-1a-13.244.104.42-20240101-2012.pcap.gz,af-south-1a-13.244.104.42-20240101-2012.pcap.gz,af-south-1,13.244.104.42,663867,663839
e3/af-south-1a-13.244.104.42-20240102-2012.pcap.gz,af-south-1a-13.244.104.42-20240102-2012.pcap.gz,af-south-1,13.244.104.42,623177,623149
e3/af-south-1a-13.244.104.42-20240103-2012.pcap.gz,af-south-1a-13.244.104.42-20240103-2012.pcap.gz,af-south-1,13.244.104.42,647331,647303
e3/af-south-1a-13.244.104.42-20240104-2012.pcap.gz,af-south-1a-13.244.104.42-20240104-2012.pcap.gz,af-south-1,13.244.104.42,642070,642042
e3/af-south-1a-13.244.104.42-20240105-2012.pcap.gz,af-south-1a-13.244.104.42-20240105-2012.pcap.gz,af-south-1,13.244.104.42,717801,717773
e3/af-south-1a-13.244.104.42-20240106-2012.pcap.gz,af-south-1a-13.244.104.42-20240106-2012.pcap.gz,af-south-1,13.244.104.42,685500,685472
e3/af-south-1a-13.244.104.42-20240107-2012.pcap.gz,af-south-1a-13.244.104.42-20240107-2012.pcap.gz,af-south-1,13.244.104.42,658095,658067
e3/af-south-1a-13.244.104.42-20240108-2012.pcap.gz,af-south-1a-13.244.104.42-20240108-2012.pcap.gz,af-south-1,13.244.104.42,621035,621007
e3/af-south-1a-13.244.104.42-20240109-2012.pcap.gz,af-south-1a-13.244.104.42-20240109-2012.pcap.gz,af-south-1,13.244.104.42,622241,622213
e3/af-south-1a-13.244.104.42-20240110-2012.pcap.gz,af-south-1a-13.244.104.42-20240110-2012.pcap.gz,af-south-1,13.244.104.42,662478,662450
e3/af-south-1a-13.244.104.42-20240111-2012.pcap.gz,af-south-1a-13.244.104.42-20240111-2012.pcap.gz,af-south-1,13.244.104.42,687958,687930
e3/af-south-1a-13.244.104.42-20240112-2012.pcap.gz,af-south-1a-13.244.104.42-20240112-2012.pcap.gz,af-south-1,13.244.104.42,755635,755607
e3/af-south-1a-13.244.104.42-20240113-2012.pcap.gz,af-south-1a-13.244.104.42-20240113-2012.pcap.gz,af-south-1,13.244.104.42,646048,646020
e3/af-south-1a-13.244.104.42-20240114-2013.pcap.gz,af-south-1a-13.244.104.42-20240114-2013.pcap.gz,af-south-1,13.244.104.42,515062,515034
e3/af-south-1a-13.244.104.42-20240115-2013.pcap.gz,af-south-1a-13.244.104.42-20240115-2013.pcap.gz,af-south-1,13.244.104.42,550423,550395
e3/af-south-1a-13.244.104.42-20240116-2013.pcap.gz,af-south-1a-13.244.104.42-20240116-2013.pcap.gz,af-south-1,13.244.104.42,600870,600842
e3/af-south-1a-13.244.104.42-20240117-2013.pcap.gz,af-south-1a-13.244.104.42-20240117-2013.pcap.gz,af-south-1,13.244.104.42,647662,647634
e3/af-south-1a-13.244.104.42-20240118-2013.pcap.gz,af-south-1a-13.244.104.42-20240118-2013.pcap.gz,af-south-1,13.244.104.42,645649,645621
e3/af-south-1a-13.244.104.42-20240119-2013.pcap.gz,af-south-1a-13.244.104.42-20240119-2013.pcap.gz,af-south-1,13.244.104.42,581904,581876
e3/af-south-1a-13.244.104.42-20240120-2013.pcap.gz,af-south-1a-13.244.104.42-20240120-2013.pcap.gz,af-south-1,13.244.104.42,617881,617853
e3/af-south-1a-13.244.104.42-20240121-2013.pcap.gz,af-south-1a-13.244.104.42-20240121-2013.pcap.gz,af-south-1,13.244.104.42,617044,617016
e3/af-south-1a-13.244.104.42-20240122-2013.pcap.gz,af-south-1a-13.244.104.42-20240122-2013.pcap.gz,af-south-1,13.244.104.42,603501,603473
e3/af-south-1a-13.244.104.42-20240123-2013.pcap.gz,af-south-1a-13.244.104.42-20240123-2013.pcap.gz,af-south-1,13.244.104.42,565589,565561
e3/af-south-1a-13.244.104.42-20240124-2013.pcap.gz,af-south-1a-13.244.104.42-20240124-2013.pcap.gz,af-south-1,13.244.104.42,603955,603927
e3/af-south-1a-13.244.104.42-20240125-2013.pcap.gz,af-south-1a-13.244.104.42-20240125-2013.pcap.gz,af-south-1,13.244.104.42,625215,625187
e3/af-south-1a-13.244.104.42-20240126-2013.pcap.gz,af-south-1a-13.244.104.42-20240126-2013.pcap.gz,af-south-1,13.244.104.42,607145,607117
e3/af-south-1a-13.244.104.42-20240127-2014.pcap.gz,af-south-1a-13.244.104.42-20240127-2014.pcap.gz,af-south-1,13.244.104.42,617300,617272
e3/af-south-1a-13.244.104.42-20240128-2014.pcap.gz,af-south-1a-13.244.104.42-20240128-2014.pcap.gz,af-south-1,13.244.104.42,631784,631756
e3/af-south-1a-13.244.104.42-20240129-2014.pcap.gz,af-south-1a-13.244.104.42-20240129-2014.pcap.gz,af-south-1,13.244.104.42,593347,593319
e3/af-south-1a-13.244.104.42-20240130-2014.pcap.gz,af-south-1a-13.244.104.42-20240130-2014.pcap.gz,af-south-1,13.244.104.42,4191601,4191573
